Player Name,Player ID,High Arm Angle Pitch,High Arm Angle,High Arm Pitch Count,Low Arm Angle Pitch,Low Arm Angle,Low Arm Pitch Count,Difference in Arm Angles
CLAYTON BEETER,690925,Slider,54.33,17,4-Seam Fastball,53.03,34,1.3
BAILEY FALTER,663559,Curveball,56.93,325,Sinker,55.64,338,1.28
JOSÉ SUAREZ,660761,Sweeper,40.87,117,4-Seam Fastball,39.62,395,1.25
STEVEN MATZ,571927,Sinker,36.35,450,Changeup,35.11,194,1.24
TROY TAYLOR,700187,4-Seam Fastball,31.09,188,Sweeper,29.85,135,1.24
NICK HERNANDEZ,663321,4-Seam Fastball,47.92,52,Slider,46.72,81,1.2
STEVEN OKERT,595345,Slider,33.94,365,4-Seam Fastball,32.75,146,1.19
TREVOR ROGERS,669432,Slider,23.31,462,Changeup,22.13,533,1.18
ALLAN WINANS,642216,4-Seam Fastball,32.22,22,Changeup,31.07,61,1.16
ISAAC MATTSON,676755,4-Seam Fastball,49.39,70,Changeup,48.24,23,1.15
SEAN HJELLE,663546,Knuckle Curve,28.35,416,Cutter,27.21,128,1.14
KODAI SENGA,673540,Cutter,45.41,47,4-Seam Fastball,44.28,59,1.13
JADEN HILL,677955,Changeup,24.05,42,Sinker,22.91,67,1.13
COLIN REA,607067,Cutter,34.77,515,4-Seam Fastball,33.65,518,1.12
JOELY RODRÍGUEZ,570257,Sinker,31.62,122,Sweeper,30.49,37,1.12
ANTHONY MALDONADO,687424,Slider,37.02,184,4-Seam Fastball,35.91,99,1.11
NICK NASTRINI,680897,4-Seam Fastball,45.37,333,Slider,44.27,266,1.1
ROANSY CONTRERAS,672710,4-Seam Fastball,48.22,401,Sinker,47.13,111,1.09
CHASEN SHREVE,592741,4-Seam Fastball,36.57,3,Split-Finger,35.5,4,1.07
ANGEL CHIVILLI,683409,Changeup,40.66,206,4-Seam Fastball,39.6,213,1.06
RILEY PINT,666207,4-Seam Fastball,26.8,30,Slider,25.73,71,1.06
JAY JACKSON,543351,Slider,32.39,252,4-Seam Fastball,31.35,116,1.05
JHOAN DURÁN,661395,Knuckle Curve,34.03,244,Split-Finger,32.98,277,1.04
JORDAN ROMANO,605447,4-Seam Fastball,50.83,103,Slider,49.79,112,1.04
DANIEL ROBERT,642016,Sweeper,35.66,50,4-Seam Fastball,34.62,46,1.04
TANNER RAINEY,663432,4-Seam Fastball,38.05,666,Slider,37.02,260,1.03
RAY KERR,678061,4-Seam Fastball,33.1,171,Curveball,32.07,180,1.02
DANE DUNNING,641540,Slider,38.54,396,Sinker,37.53,643,1.01
TIM MAYZA,641835,Slider,42.68,190,Sinker,41.67,568,1.01
KEVIN KELLY,687330,Sweeper,3.4,288,Sinker,2.4,635,0.99
KUTTER CRAWFORD,676710,Sweeper,48.09,521,Cutter,47.16,905,0.93
AUSTIN ADAMS,613534,4-Seam Fastball,11.42,190,Slider,10.49,594,0.92
BRENAN HANIFEE,669724,4-Seam Fastball,33.29,67,Sinker,32.39,251,0.9
MAX MEYER,676974,Slider,46.34,393,Changeup,45.51,172,0.83
TAJ BRADLEY,671737,4-Seam Fastball,54.05,957,Cutter,53.23,516,0.82
JESÚS LUZARDO,666200,4-Seam Fastball,39.78,387,Changeup,38.98,248,0.8
GERARDO REYES,622103,4-Seam Fastball,23.63,48,Slider,22.86,24,0.77
JORDAN WEEMS,607179,4-Seam Fastball,49.08,451,Slider,48.33,256,0.75
DANY JIMÉNEZ,666204,Slider,61.51,263,4-Seam Fastball,60.76,169,0.75
RILEY O'BRIEN,676617,Sinker,31.41,89,Slider,30.66,50,0.75
JORGE ALCALÁ,660896,4-Seam Fastball,49.88,408,Slider,49.19,359,0.7
TYLER MATZEK,554431,4-Seam Fastball,50.42,117,Slider,49.73,58,0.68
TYLER KINLEY,641755,Slider,45.16,729,4-Seam Fastball,44.57,386,0.59
JOE RYAN,657746,Split-Finger,25.99,468,Sweeper,25.4,341,0.58
RYAN HELSLEY,664854,Slider,59.69,438,4-Seam Fastball,59.11,412,0.58
BEN JOYCE,690829,Sinker,27.9,192,Slider,27.32,82,0.58
DAN ALTAVILLA,656186,Slider,24.09,31,4-Seam Fastball,23.51,48,0.58
DECLAN CRONIN,686539,Slider,22.12,559,Sinker,21.55,429,0.57
ROB ZASTRYZNY,642239,4-Seam Fastball,42.11,48,Cutter,41.55,58,0.56
JOEL PAYAMPS,606303,Sinker,30.55,182,4-Seam Fastball,30.01,302,0.54
MATT KROOK,640454,Sweeper,27.4,6,Sinker,26.88,18,0.52
TONY SANTILLAN,663574,Slider,28.26,195,4-Seam Fastball,27.77,304,0.49
TREVOR MEGILL,656730,Knuckle Curve,54.94,205,4-Seam Fastball,54.47,490,0.47
JOHNNY CUETO,456501,Sinker,32.71,61,Changeup,32.3,48,0.41
DAVID ROBERTSON,502085,Knuckle Curve,45.03,324,Cutter,44.63,768,0.4
WALTER PENNINGTON,679156,Slider,28.87,135,Cutter,28.46,89,0.4
HURSTON WALDREP,694462,Slider,55.79,30,4-Seam Fastball,55.41,53,0.38
JOSÉ CUAS,621016,Sinker,3.22,128,Sweeper,2.87,74,0.36
JAKE EDER,671109,Changeup,34.56,11,Slider,34.24,11,0.33
TAYLOR ROGERS,573124,Sinker,29.28,556,Sweeper,28.97,504,0.32
PHIL BICKFORD,641360,Slider,25.22,36,4-Seam Fastball,24.91,117,0.31
RYAN BORUCKI,621366,Sinker,28.64,43,Slider,28.35,92,0.29
LUIS PERALTA,678821,Curveball,33.31,43,4-Seam Fastball,33.07,137,0.23
ANDREW NARDI,677053,4-Seam Fastball,46.77,551,Slider,46.55,348,0.22
JAKE COUSINS,664776,Slider,24.06,493,Sinker,23.85,261,0.21
KIRBY YATES,489446,4-Seam Fastball,21.62,622,Split-Finger,21.42,397,0.2
BRYAN WOO,693433,Sinker,26.71,398,4-Seam Fastball,26.53,836,0.17
CALEB KILIAN,668873,Cutter,51.52,64,4-Seam Fastball,51.37,76,0.15
TYLER BEEDE,595881,Curveball,31.18,62,Split-Finger,31.03,105,0.15
GIOVANNY GALLEGOS,606149,Slider,58.6,197,4-Seam Fastball,58.47,174,0.13
ADAM CIMBER,643256,Slider,-22.82,136,Sinker,-22.96,151,0.13
JOSE HERNANDEZ,669796,4-Seam Fastball,55.58,30,Slider,55.46,59,0.11
RYAN LOUTOS,702795,Slider,33.7,4,Sweeper,33.61,11,0.09
ERIC ORZE,679358,Changeup,44.91,20,4-Seam Fastball,44.86,18,0.05
ENYEL DE LOS SANTOS,660853,4-Seam Fastball,24.59,549,Slider,24.55,480,0.04
JOE BOYLE,671212,4-Seam Fastball,48.06,568,Slider,48.03,331,0.03
CHAD GREEN,643338,Slider,44.7,330,4-Seam Fastball,44.69,503,0.01
KENLEY JANSEN,445276,Cutter,61.46,674,Cutter,61.46,674,0
JOSÉ QUIJADA,650671,4-Seam Fastball,36.34,357,4-Seam Fastball,36.34,357,0
WANDER SUERO,593833,Cutter,39.7,2,Cutter,39.7,2,0
