Player Name,Player ID,High Arm Angle Pitch,High Arm Angle,High Arm Pitch Count,Low Arm Angle Pitch,Low Arm Angle,Low Arm Pitch Count,Difference in Arm Angles
KEATON WINN,676775,Slider,41.86,116,Split-Finger,38.51,339,3.35
JOE MANTIPLY,573009,Curveball,16.52,230,Changeup,13.18,229,3.34
JOE LA SORSA,686747,Sinker,20.07,144,Changeup,16.73,58,3.34
ALEXIS DÍAZ,664747,Slider,11.9,411,4-Seam Fastball,8.57,566,3.33
EASTON LUCAS,687922,4-Seam Fastball,48.87,131,Sweeper,45.56,44,3.31
JACOB DEGROM,594798,Slider,35.44,78,4-Seam Fastball,32.13,79,3.31
RANDY DOBNAK,677976,4-Seam Fastball,21.7,24,Slider,18.41,57,3.29
JOSE QUINTANA,500779,Curveball,45.99,648,Changeup,42.71,595,3.28
JOE JIMÉNEZ,641729,4-Seam Fastball,33.11,509,Slider,29.84,549,3.27
JONATHAN BOWLAN,680742,Curveball,45.12,9,Sinker,41.85,14,3.27
ANTONIO SENZATELA,622608,4-Seam Fastball,46.99,125,Slider,43.72,49,3.26
DAVID BUCHANAN,571527,Curveball,55.96,7,Sinker,52.7,15,3.26
TRISTON MCKENZIE,663474,4-Seam Fastball,55.26,682,Curveball,52,345,3.25
AUSTIN VOTH,608723,4-Seam Fastball,38.56,231,Sweeper,35.31,230,3.25
IAN GIBAUT,664139,4-Seam Fastball,45.73,16,Cutter,42.48,11,3.25
DYLAN CEASE,656302,4-Seam Fastball,54.88,1436,Slider,51.65,1423,3.23
JESSE CHAVEZ,445926,Changeup,23.15,143,Cutter,19.92,550,3.23
JOE ROSS,605452,Sinker,36.47,440,Slider,33.25,454,3.22
ZEBBY MATTHEWS,805673,Slider,43.26,186,Cutter,40.03,116,3.22
BRANT HURTER,676428,Sweeper,30.6,223,Changeup,27.38,84,3.21
JORDAN HICKS,663855,Sinker,30.18,1009,Sweeper,26.99,471,3.19
PAUL SKENES,694973,Curveball,25.27,230,Split-Finger,22.08,603,3.19
BROCK STEWART,592779,Sweeper,29.05,67,Sinker,25.86,28,3.18
CALEB FERGUSON,657571,Slurve,41.03,191,Cutter,37.86,249,3.17
JAMES MEEKER,703231,Slider,31.55,2,4-Seam Fastball,28.4,8,3.15
JEFF HOFFMAN,656546,Slider,40.52,426,Split-Finger,37.37,122,3.14
TAIJUAN WALKER,592836,4-Seam Fastball,41.95,165,Split-Finger,38.81,301,3.14
KYLE HURT,669165,4-Seam Fastball,43.29,25,Changeup,40.15,32,3.14
MAX LAZAR,676661,Curveball,57.87,46,Cutter,54.74,46,3.13
TYLER FERGUSON,621053,4-Seam Fastball,28.46,316,Sweeper,25.33,198,3.12
KENT EMANUEL,592288,Sinker,24.87,176,Sweeper,21.75,86,3.12
JOSH WINDER,680739,4-Seam Fastball,45.98,41,Sweeper,42.86,30,3.12
ANTHONY BANDA,607455,4-Seam Fastball,35.79,313,Sinker,32.68,213,3.11
DALLAS KEUCHEL,572971,Changeup,46.76,85,Cutter,43.67,45,3.09
RONEL BLANCO,669854,4-Seam Fastball,47.52,1041,Slider,44.45,808,3.07
DANIEL PALENCIA,694037,4-Seam Fastball,37.08,149,Slider,34.01,64,3.07
ZACK THOMPSON,668868,Curveball,57.3,45,Forkball,54.23,72,3.07
RAYMOND BURGOS,670103,4-Seam Fastball,26.2,3,Sinker,23.13,12,3.07
BEN BROWN,676962,Knuckle Curve,44.46,303,4-Seam Fastball,41.4,532,3.06
ZACH POP,647315,Cutter,32.29,92,Sinker,29.22,534,3.06
MATT WALDRON,663362,Knuckleball,30.07,935,Sweeper,27.01,486,3.05
ELI MORGAN,669212,Slider,46.97,248,Changeup,43.92,170,3.05
JOJO ROMERO,668941,Slider,32.93,312,Sinker,29.89,358,3.04
